ticker,signal,tradingDate,expirationDate,adjStrikePrice,weightCall,weightPut,entry
BABA,SS,2022-01-21,2022-02-18,135.0,0.716333506,0.283666494,6.190674673
INTC,SS,2022-01-21,2022-02-18,55.0,0.671494485,0.328505515,2.343729182
BABA,SS,2022-02-18,2022-03-18,125.0,0.580880517,0.419119483,8.097804947
PLTR,SS,2022-02-18,2022-03-18,11.0,0.451979426,0.548020574,1.019519794
SOFI,SS,2022-02-18,2022-03-18,12.5,0.564376,0.435624,1.43661136
BABA,SS,2022-03-18,2022-04-14,120.0,0.663105303,0.336894697,8.224289021
MSTR,SS,2022-03-18,2022-04-14,50.0,0.659958828,0.340041172,3.348786923
PLTR,SS,2022-03-18,2022-04-14,13.0,0.496563237,0.503436763,0.898067066
BABA,SS,2022-04-14,2022-05-20,105.0,0.665110509,0.334889491,6.714822406
COIN,SS,2022-04-14,2022-05-20,165.0,0.639788382,0.360211618,13.90773506
PLTR,SS,2022-04-14,2022-05-20,12.0,0.39448622,0.60551378,1.058573937
BABA,SS,2022-05-20,2022-06-17,100.0,0.736096618,0.263903382,5.921092857
PLTR,SS,2022-05-20,2022-06-17,9.0,0.660815818,0.339184182,0.648569843
SOFI,SS,2022-05-20,2022-06-17,9.0,0.724885186,0.275114814,0.707301239
BABA,SS,2022-06-17,2022-07-15,120.0,0.748166044,0.251833956,7.33765649
NFLX,SS,2022-06-17,2022-07-15,195.0,0.733052701,0.266947299,9.143714465
SOFI,SS,2022-06-17,2022-07-15,6.0,0.547353124,0.452646876,0.523057297
BABA,SS,2022-07-15,2022-08-19,110.0,0.601738786,0.398261214,8.057306866
COIN,SS,2022-07-15,2022-08-19,70.0,0.735280611,0.264719389,6.814928329
PLTR,SS,2022-07-15,2022-08-19,9.0,0.443587105,0.556412895,0.872743484
COIN,SS,2022-08-19,2022-09-16,90.0,0.694434261,0.305565739,8.533495255
MSTR,SS,2022-08-19,2022-09-16,35.0,0.740622783,0.259377217,2.831546394
RIVN,SS,2022-08-19,2022-09-16,35.0,0.495359391,0.504640609,2.569889914
COIN,SS,2022-09-16,2022-10-21,90.0,0.693379539,0.306620461,8.63092737
PLTR,SS,2022-09-16,2022-10-21,9.0,0.747179994,0.252820006,0.507119908
RIVN,SS,2022-09-16,2022-10-21,45.0,0.708761129,0.291238871,3.009288123
COIN,SS,2022-10-21,2022-11-18,65.0,0.410697195,0.589302805,8.339708643
PLTR,SS,2022-10-21,2022-11-18,9.0,0.612104431,0.387895569,0.688768987
RIVN,SS,2022-10-21,2022-11-18,32.5,0.476674448,0.523325552,3.181896032
COIN,SS,2022-11-18,2022-12-16,55.0,0.656465481,0.343534519,6.30602622
PLTR,SS,2022-11-18,2022-12-16,7.0,0.337114114,0.662885886,0.443216787
SOFI,SS,2022-11-18,2022-12-16,5.0,0.385032978,0.614967022,0.375856925
