ticker,date,MOM,date_tuple,date_dt,signal,LS_Return,SS_Return,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate
AVGO,2020-08-21,0.015199549,"(2020, 8)",2020-08-01 00:00:00,SS,0.059154723,-0.059154723,34,0.815,1.995,0.620241526,0.379758474,1.263114999,2020-09-18
NVDA,2020-08-21,0.079120966,"(2020, 8)",2020-08-01 00:00:00,LS,0.011958993,-0.011958993,12.5,0.70875,0.519375,0.42894621,0.57105379,0.600606688,2020-09-18
TSLA,2020-08-21,0.167643017,"(2020, 8)",2020-08-01 00:00:00,LS,-0.139087031,0.139087031,160,4.565,27.71833333,0.727329557,0.272670443,10.87822965,2020-09-18
AMD,2020-09-18,0.094403963,"(2020, 9)",2020-09-01 00:00:00,LS,-0.081717896,0.081717896,80,2.57,7.55,0.640438424,0.359561576,4.36061665,2020-10-16
F,2020-09-18,-0.017401046,"(2020, 9)",2020-09-01 00:00:00,SS,0.160663424,-0.160663424,7,0.475,0.235,0.370879391,0.629120609,0.324011054,2020-10-16
INTC,2020-09-18,0.006811299,"(2020, 9)",2020-09-01 00:00:00,SS,-0.144842997,0.144842997,52.5,0.63,3.225,0.728425608,0.271574392,1.334735547,2020-10-16
MARA,2020-09-18,0.097491918,"(2020, 9)",2020-09-01 00:00:00,LS,0.102037951,-0.102037951,2,0.275,0.375,0.484896871,0.515103129,0.326510313,2020-10-16
AVGO,2020-09-18,0.017832093,"(2020, 9)",2020-09-01 00:00:00,SS,-0.040322063,0.040322063,37,0.69,2.095,0.65468372,0.34531628,1.175169373,2020-10-16
TSLA,2020-09-18,0.2032098,"(2020, 9)",2020-09-01 00:00:00,LS,-0.095499132,0.095499132,200,7.2,59.60833333,0.740303415,0.259696585,20.81026518,2020-10-16
AMD,2020-10-16,0.117235698,"(2020, 10)",2020-10-01 00:00:00,LS,0.230709927,-0.230709927,95,2.35,14.1,0.731056583,0.268943417,5.510085154,2020-11-20
F,2020-10-16,-0.014413556,"(2020, 10)",2020-10-01 00:00:00,SS,0.174644606,-0.174644606,7,0.865,0.205,0.256861399,0.743138601,0.374528523,2020-11-20
INTC,2020-10-16,0.005703245,"(2020, 10)",2020-10-01 00:00:00,SS,0.099801349,-0.099801349,57.5,1.11,4.75,0.696293564,0.303706436,2.215491427,2020-11-20
MARA,2020-10-16,0.113289203,"(2020, 10)",2020-10-01 00:00:00,LS,1.90740578,-1.90740578,2,0.425,0.325,0.342980024,0.657019976,0.359298002,2020-11-20
MSTR,2020-10-16,0.000893991,"(2020, 10)",2020-10-01 00:00:00,SS,1.051659652,-1.051659652,16,1.47,0.955,0.401351965,0.598648035,1.161696262,2020-11-20
TSLA,2020-10-16,0.264465616,"(2020, 10)",2020-10-01 00:00:00,LS,0.46273494,-0.46273494,166.6666667,7.091666667,27.09166667,0.659668417,0.340331583,13.89829833,2020-11-20
F,2020-11-20,-0.012305571,"(2020, 11)",2020-11-01 00:00:00,SS,-0.031939991,0.031939991,9,0.265,0.515,0.587425482,0.412574518,0.368143629,2020-12-18
INTC,2020-11-20,-0.001636478,"(2020, 11)",2020-11-01 00:00:00,SS,0.030406834,-0.030406834,47.5,0.555,2.63,0.721669769,0.278330231,1.13253523,2020-12-18
MARA,2020-11-20,0.115006876,"(2020, 11)",2020-11-01 00:00:00,LS,0.662422691,-0.662422691,5,0.575,2.175,0.559713594,0.440286406,1.27945825,2020-12-18
MSTR,2020-11-20,0.001755565,"(2020, 11)",2020-11-01 00:00:00,SS,0.133558361,-0.133558361,20,3.485,1.285,0.298270862,0.701729138,1.941195896,2020-12-18
NVDA,2020-11-20,0.097462667,"(2020, 11)",2020-11-01 00:00:00,LS,-0.025563604,0.025563604,14,0.28125,1.161875,0.700666226,0.299333774,0.544850804,2020-12-18
TSLA,2020-11-20,0.223873495,"(2020, 11)",2020-11-01 00:00:00,LS,0.243253394,-0.243253394,173.3333333,9.183333333,19.225,0.576925267,0.423074733,13.43170877,2020-12-18
F,2020-12-18,-0.002673815,"(2020, 12)",2020-12-01 00:00:00,SS,0.19795143,-0.19795143,9,0.375,0.375,0.500088508,0.499911492,0.375,2021-01-15
INTC,2020-12-18,-0.01775898,"(2020, 12)",2020-12-01 00:00:00,SS,0.114210218,-0.114210218,50,0.795,3.25,0.702313935,0.297686065,1.525819289,2021-01-15
MARA,2020-12-18,0.128996753,"(2020, 12)",2020-12-01 00:00:00,LS,0.986587887,-0.986587887,10,1.875,2.6,0.439137255,0.560862745,2.28162549,2021-01-15
MSTR,2020-12-18,0.013456475,"(2020, 12)",2020-12-01 00:00:00,SS,0.58875348,-0.58875348,35,1.61,6.695,0.660169905,0.339830095,3.338036033,2021-01-15
NVDA,2020-12-18,0.083586304,"(2020, 12)",2020-12-01 00:00:00,LS,-0.004999247,0.004999247,14.25,0.216875,1.24375,0.732886511,0.267113489,0.491167164,2021-01-15
TSLA,2020-12-18,0.210855984,"(2020, 12)",2020-12-01 00:00:00,LS,0.124507639,-0.124507639,233.3333333,11.75833333,26.58333333,0.555629626,0.444370374,18.34612413,2021-01-15
BABA,2021-01-15,0.023047124,"(2021, 1)",2021-01-01 00:00:00,SS,-0.063310705,0.063310705,265,4.8,26.45,0.728732066,0.271267934,10.67295077,2021-02-19
F,2021-01-15,0.01079503,"(2021, 1)",2021-01-01 00:00:00,SS,0.11111087,-0.11111087,10,0.465,0.625,0.522301517,0.477698483,0.541431757,2021-02-19
INTC,2021-01-15,-0.011505045,"(2021, 1)",2021-01-01 00:00:00,SS,0.101409228,-0.101409228,62.5,1.01,6.25,0.743096624,0.256903376,2.356173692,2021-02-19
MARA,2021-01-15,0.330706892,"(2021, 1)",2021-01-01 00:00:00,LS,0.453709545,-0.453709545,25,5.05,7.6,0.431508545,0.568491455,6.499653211,2021-02-19
MSTR,2021-01-15,0.113718525,"(2021, 1)",2021-01-01 00:00:00,LS,0.215614544,-0.215614544,65,5.425,12.655,0.565962378,0.434037622,8.563092007,2021-02-19
TSLA,2021-01-15,0.228568426,"(2021, 1)",2021-01-01 00:00:00,LS,-0.148740673,0.148740673,333.3333333,9.65,67.425,0.738925761,0.261074239,24.73356415,2021-02-19
BABA,2021-02-19,0.014835771,"(2021, 2)",2021-02-01 00:00:00,SS,-0.046391973,0.046391973,280,4.45,21.05,0.713098467,0.286901533,9.21256545,2021-03-19
F,2021-02-19,0.011123828,"(2021, 2)",2021-02-01 00:00:00,SS,0.047009745,-0.047009745,11,0.905,0.34,0.324664745,0.675335255,0.523435581,2021-03-19
INTC,2021-02-19,-0.014937999,"(2021, 2)",2021-02-01 00:00:00,SS,0.052979533,-0.052979533,65,1.45,3.4,0.617917564,0.382082436,2.195060749,2021-03-19
MARA,2021-02-19,0.374568628,"(2021, 2)",2021-02-01 00:00:00,LS,0.592701877,-0.592701877,45,10.95,12.4,0.390478487,0.609521513,11.83380619,2021-03-19
MSTR,2021-02-19,0.119869053,"(2021, 2)",2021-02-01 00:00:00,LS,-0.095427253,0.095427253,130,6.85,40.39,0.685819947,0.314180053,17.38759898,2021-03-19
TSLA,2021-02-19,0.200213369,"(2021, 2)",2021-02-01 00:00:00,LS,-0.011208172,0.011208172,236.6666667,31.09166667,7.458333333,0.25769923,0.74230077,13.54862513,2021-03-19
BABA,2021-03-19,0.022457341,"(2021, 3)",2021-03-01 00:00:00,SS,0.018612123,-0.018612123,240,9,9.55,0.489622099,0.510377901,9.280707846,2021-04-16
GOOGL,2021-03-19,0.032184838,"(2021, 3)",2021-03-01 00:00:00,SS,0.14108004,-0.14108004,102.75,2.325,3.6075,0.561418176,0.438581824,2.88748119,2021-04-16
INTC,2021-03-19,0.007015472,"(2021, 3)",2021-03-01 00:00:00,SS,-0.101093726,0.101093726,65,1.905,3.15,0.560979243,0.439020757,2.451580842,2021-04-16
MARA,2021-03-19,0.480019002,"(2021, 3)",2021-03-01 00:00:00,LS,-0.234070203,0.234070203,60,4.125,21.1,0.646286229,0.353713771,10.12929126,2021-04-16
MSTR,2021-03-19,0.183479823,"(2021, 3)",2021-03-01 00:00:00,LS,-0.031879581,0.031879581,90,4.905,16.9,0.638920317,0.361079683,9.2361508,2021-04-16
